Unit,Dacoity,Robbery,Murder,Speedy_Trial,Riot,Woman_Child_Repression,Kidnapping,Police_Assault,Burglary,Theft,Other_Cases,RC_Arms_Act,RC_Explosive_Act,RC_Narcotics,RC_Smuggling,Date
KMP,0,1,1,0,0,7,3,0,2,14,45,1,0,74,0,2025-02-01
Khulna Range,2,11,22,2,0,140,2,1,18,60,591,12,7,315,8,2025-02-01
Mymensingh Range,1,4,19,10,0,94,3,1,6,35,372,2,0,207,38,2025-02-01
RMP,1,5,4,0,1,6,2,0,2,7,53,2,2,91,0,2025-02-01
RPMP,0,2,0,0,0,10,0,0,0,8,26,1,0,17,0,2025-02-01
Railway Range,0,4,2,0,0,0,0,0,0,10,8,0,0,15,0,2025-02-01
Rajshahi Range,11,11,30,5,0,196,5,4,8,47,602,15,12,418,6,2025-02-01
Rangpur Range,4,6,23,2,0,171,8,1,4,69,644,7,2,408,8,2025-02-01
SMP,0,3,3,1,0,5,0,0,2,6,58,1,4,37,25,2025-02-01
Sylhet Range,2,6,13,3,0,79,1,5,4,50,385,1,0,103,23,2025-02-01
BMP,0,0,4,1,0,24,0,3,3,3,43,1,0,28,0,2025-03-01
Barishal Range,5,1,14,12,0,164,2,2,13,44,564,3,0,150,0,2025-03-01
CMP,1,4,7,8,0,46,8,4,8,17,185,6,1,140,2,2025-03-01
Chittagong Range,13,25,65,16,0,249,20,11,39,128,1185,49,4,724,28,2025-03-01
DMP,3,38,33,12,15,162,19,23,43,137,699,20,2,538,10,2025-03-01
Dhaka Range,21,42,66,4,0,375,10,22,43,144,1325,17,1,620,1,2025-03-01
GMP,1,5,5,2,0,41,0,1,4,13,94,2,1,74,1,2025-03-01
KMP,0,5,1,3,0,14,1,3,5,20,53,4,0,61,0,2025-03-01
Khulna Range,2,11,36,12,0,218,2,2,16,81,772,15,2,366,16,2025-03-01
Mymensingh Range,2,7,22,5,0,132,2,2,9,39,498,0,1,223,67,2025-03-01
RMP,0,1,3,1,1,19,3,2,3,4,45,1,4,48,0,2025-03-01
RPMP,0,1,0,1,0,10,1,0,0,6,27,2,0,21,0,2025-03-01
Railway Range,0,3,0,1,0,0,1,0,0,15,20,0,0,31,4,2025-03-01
Rajshahi Range,7,10,21,4,0,271,5,4,8,79,930,6,11,485,12,2025-03-01
Rangpur Range,2,10,26,0,0,218,7,1,6,80,795,1,1,395,4,2025-03-01
SMP,0,3,0,7,0,14,2,3,1,6,73,1,1,29,25,2025-03-01
Sylhet Range,3,5,13,1,0,97,0,13,5,50,541,3,0,142,28,2025-03-01
BMP,0,1,3,1,0,27,0,1,2,4,62,1,0,37,0,2025-04-01
Barishal Range,6,2,15,11,0,197,3,2,14,28,579,3,0,154,0,2025-04-01
CMP,0,3,11,8,0,51,3,3,16,27,148,5,0,120,5,2025-04-01
Chittagong Range,8,19,66,15,2,278,15,7,39,98,1298,48,2,704,27,2025-04-01
DMP,7,37,29,12,1,191,19,7,48,118,540,5,6,503,24,2025-04-01
Dhaka Range,11,28,74,6,0,345,19,12,52,96,1388,18,7,674,0,2025-04-01
GMP,4,9,8,0,0,33,2,1,4,9,99,2,1,64,1,2025-04-01
KMP,0,0,2,2,0,15,1,1,7,16,52,5,0,54,0,2025-04-01
Khulna Range,0,16,32,14,0,207,6,2,11,64,851,22,5,438,8,2025-04-01
Mymensingh Range,0,7,21,6,0,120,2,1,4,37,512,4,0,293,42,2025-04-01
RMP,0,2,2,1,0,21,0,1,4,13,58,0,0,72,0,2025-04-01
RPMP,0,0,0,0,0,16,0,0,0,6,33,0,0,14,0,2025-04-01
Railway Range,0,4,2,0,0,2,0,0,0,9,10,1,0,27,2,2025-04-01
Rajshahi Range,7,11,35,11,0,265,10,9,5,84,919,20,10,606,3,2025-04-01
Rangpur Range,0,4,13,1,0,213,7,1,4,60,837,1,0,432,10,2025-04-01
SMP,0,0,3,0,0,11,0,1,6,8,56,0,3,35,14,2025-04-01
Sylhet Range,3,6,20,0,0,97,1,3,3,38,420,5,1,165,18,2025-04-01
BMP,1,0,4,1,1,27,1,1,5,11,51,0,0,37,0,2025-05-01
Barishal Range,6,5,12,12,0,181,5,3,16,27,550,4,0,159,0,2025-05-01
CMP,0,8,6,14,0,47,0,4,8,30,150,5,0,130,6,2025-05-01
Chittagong Range,12,20,55,8,1,242,9,11,53,85,1218,51,2,766,41,2025-05-01
DMP,5,40,32,12,6,183,25,9,50,128,630,44,2,546,21,2025-05-01
Dhaka Range,24,39,94,9,0,375,15,16,45,121,1197,48,6,753,2,2025-05-01
GMP,2,9,7,0,0,33,5,0,2,14,121,5,2,70,0,2025-05-01
KMP,1,5,5,2,0,15,0,1,5,5,43,1,0,92,0,2025-05-01
Khulna Range,6,8,36,8,0,192,0,8,13,78,709,22,5,402,9,2025-05-01
Mymensingh Range,2,3,17,3,0,123,1,2,5,47,428,1,0,257,45,2025-05-01
RMP,1,5,0,0,0,12,2,0,3,13,72,1,2,90,2,2025-05-01
RPMP,1,1,1,0,0,12,0,0,0,7,44,0,0,20,0,2025-05-01
Railway Range,0,13,1,0,0,0,0,0,0,13,12,0,0,39,2,2025-05-01
Rajshahi Range,3,11,29,4,0,298,10,2,7,70,805,9,11,519,12,2025-05-01
Rangpur Range,2,4,20,0,0,236,6,2,7,46,780,2,0,377,11,2025-05-01
SMP,0,1,1,2,0,12,0,1,3,14,51,3,3,34,9,2025-05-01
Sylhet Range,1,5,21,5,0,99,3,2,7,56,430,2,0,152,22,2025-05-01
BMP,0,2,2,0,1,15,1,1,2,5,48,0,0,38,0,2025-06-01
Barishal Range,1,3,7,4,0,169,2,2,12,36,552,2,1,134,0,2025-06-01
CMP,0,7,7,9,0,34,3,1,15,36,100,5,0,133,0,2025-06-01
Chittagong Range,8,13,53,11,1,246,10,9,43,98,1118,41,2,718,31,2025-06-01
DMP,4,32,49,8,4,168,20,6,55,90,456,45,4,505,10,2025-06-01
Dhaka Range,22,37,82,9,0,318,17,8,50,104,1233,36,3,711,5,2025-06-01
GMP,1,5,8,0,0,24,6,3,7,12,76,1,1,57,0,2025-06-01
KMP,0,4,3,1,0,14,0,1,8,14,35,7,1,51,2,2025-06-01
Khulna Range,5,9,28,9,0,156,6,4,19,61,651,19,4,393,16,2025-06-01
Mymensingh Range,1,6,19,5,0,133,2,1,8,39,536,6,0,276,36,2025-06-01
RMP,0,7,0,0,0,19,3,0,3,14,63,0,0,57,1,2025-06-01
RPMP,0,1,2,0,2,11,2,0,0,7,28,4,0,20,0,2025-06-01
Railway Range,0,5,1,0,0,2,0,0,0,16,8,1,0,26,1,2025-06-01
Rajshahi Range,3,11,38,0,0,230,4,3,8,56,890,28,12,441,12,2025-06-01
Rangpur Range,2,3,23,0,0,290,2,0,5,77,836,5,0,399,3,2025-06-01
SMP,0,2,2,5,0,12,0,0,4,5,50,1,1,25,4,2025-06-01
Sylhet Range,2,4,20,3,0,92,2,5,5,52,371,2,0,114,26,2025-06-01
BMP,0,1,1,1,0,26,0,0,5,8,41,0,0,40,0,2025-07-01
Barishal Range,8,7,15,14,1,188,4,1,24,43,412,3,2,153,0,2025-07-01
CMP,0,8,9,4,0,54,6,4,16,28,129,3,0,156,5,2025-07-01
Chittagong Range,11,25,46,16,0,239,18,7,58,124,935,50,2,863,27,2025-07-01
DMP,4,38,75,8,3,171,25,5,46,101,555,23,13,528,11,2025-07-01
Dhaka Range,22,36,77,14,0,364,12,6,70,142,1102,20,0,879,2,2025-07-01
GMP,2,3,9,0,0,32,6,2,5,13,93,1,1,70,1,2025-07-01
KMP,0,0,2,1,0,14,1,0,7,14,38,2,0,61,0,2025-07-01
Khulna Range,4,10,25,14,0,225,7,2,23,81,527,22,4,389,14,2025-07-01
Mymensingh Range,0,3,23,7,0,114,10,1,7,36,408,1,0,293,31,2025-07-01
RMP,0,4,2,0,0,18,3,2,6,14,64,4,0,86,0,2025-07-01
RPMP,1,1,0,0,0,7,1,0,0,8,32,4,0,20,0,2025-07-01
Railway Range,0,5,0,0,0,9,0,0,0,16,9,0,0,42,4,2025-07-01
Rajshahi Range,4,14,27,6,0,235,7,3,9,89,742,11,11,468,8,2025-07-01
Rangpur Range,1,5,29,0,0,287,6,3,7,72,821,8,0,446,3,2025-07-01
SMP,0,3,2,1,0,11,0,0,4,9,38,1,1,31,6,2025-07-01
Sylhet Range,2,3,20,3,0,103,3,3,5,51,387,2,0,133,31,2025-07-01
BMP,0,0,2,0,0,29,0,1,3,9,38,1,0,42,0,2025-08-01
Barishal Range,7,8,16,5,0,196,5,3,35,52,438,1,0,223,1,2025-08-01
CMP,1,10,3,7,0,49,6,7,13,25,134,4,0,136,5,2025-08-01
Chittagong Range,17,18,42,17,1,229,15,6,76,134,1014,52,2,964,43,2025-08-01
DMP,2,52,32,7,1,159,16,5,51,132,555,14,13,557,10,2025-08-01
Dhaka Range,19,36,73,8,0,346,19,6,49,159,1156,20,3,894,7,2025-08-01
GMP,3,6,7,0,0,27,3,2,6,26,88,0,1,81,0,2025-08-01
KMP,0,0,5,0,0,20,1,3,6,19,31,3,0,66,1,2025-08-01
Khulna Range,2,11,30,14,0,147,5,2,25,80,581,25,2,402,20,2025-08-01
Mymensingh Range,0,5,24,1,0,104,5,3,10,34,364,4,0,309,45,2025-08-01
RMP,0,4,3,0,0,17,3,0,7,20,75,1,0,70,0,2025-08-01
RPMP,0,0,0,0,0,12,1,0,2,5,25,1,0,15,0,2025-08-01
Railway Range,0,4,2,0,0,3,1,0,0,17,11,0,0,39,10,2025-08-01
Rajshahi Range,7,8,37,4,0,216,4,3,5,91,742,13,9,425,9,2025-08-01
Rangpur Range,1,9,25,0,0,264,5,2,14,74,833,6,1,465,1,2025-08-01
SMP,1,0,3,0,0,5,1,1,4,16,61,0,1,25,7,2025-08-01
Sylhet Range,2,5,17,3,0,81,0,7,5,63,338,3,0,147,34,2025-08-01
BMP,1,0,0,0,0,34,1,1,5,9,39,0,0,35,0,2025-09-01
Barishal Range,2,4,18,3,0,210,1,0,34,30,454,1,2,182,0,2025-09-01
CMP,0,4,7,4,0,46,5,5,12,41,140,4,0,134,1,2025-09-01
Chittagong Range,16,22,55,31,1,240,22,9,68,130,1067,44,0,932,43,2025-09-01
DMP,4,36,25,11,1,137,19,4,44,119,576,16,9,522,6,2025-09-01
Dhaka Range,10,51,77,8,0,346,3,11,49,141,1194,29,4,894,1,2025-09-01
GMP,1,6,3,0,0,35,6,2,8,16,96,2,0,75,0,2025-09-01
KMP,0,1,1,0,0,16,2,1,6,15,36,8,0,53,1,2025-09-01
Khulna Range,1,12,27,9,1,163,9,2,21,66,585,21,3,405,16,2025-09-01
Mymensingh Range,0,4,15,6,0,117,2,1,13,55,384,3,0,303,50,2025-09-01
RMP,0,3,0,0,0,13,4,0,5,8,68,1,1,75,1,2025-09-01
RPMP,0,3,0,0,0,3,3,0,1,11,30,3,0,13,0,2025-09-01
Railway Range,1,4,1,0,0,0,0,0,0,20,14,0,0,45,5,2025-09-01
Rajshahi Range,8,9,26,7,0,247,9,5,11,65,795,10,2,369,5,2025-09-01
Rangpur Range,2,4,24,3,0,238,6,0,8,85,694,2,0,349,4,2025-09-01
SMP,1,2,2,5,0,6,2,0,5,16,63,0,0,48,15,2025-09-01
Sylhet Range,3,4,16,5,0,77,2,2,5,61,396,1,0,151,40,2025-09-01
BMP,0,1,0,0,0,22,5,0,5,8,68,0,0,38,0,2025-10-01
Barishal Range,3,6,16,1,0,186,6,2,23,28,576,1,1,182,0,2025-10-01
CMP,3,10,5,21,0,51,4,5,13,34,132,8,0,160,2,2025-10-01
Chittagong Range,19,26,59,27,0,263,17,16,73,139,1156,57,1,894,46,2025-10-01
DMP,1,29,22,8,1,166,24,9,43,119,546,16,15,518,14,2025-10-01
Dhaka Range,9,49,59,13,0,362,18,12,50,156,1361,27,2,953,2,2025-10-01
GMP,4,6,11,2,0,24,7,3,4,14,106,2,0,100,0,2025-10-01
KMP,0,3,5,1,0,11,3,0,8,13,42,5,0,67,0,2025-10-01
Khulna Range,5,10,34,10,0,136,8,3,23,90,612,25,5,391,14,2025-10-01
Mymensingh Range,1,3,29,4,0,115,1,2,15,43,379,0,0,303,44,2025-10-01
RMP,0,4,3,0,0,16,1,1,3,9,81,1,0,57,0,2025-10-01
RPMP,0,1,0,0,0,10,1,1,4,6,26,1,0,16,0,2025-10-01
Railway Range,0,2,2,4,0,0,0,0,0,11,15,1,0,40,6,2025-10-01
Rajshahi Range,7,12,41,7,0,258,4,5,12,103,826,10,12,318,5,2025-10-01
Rangpur Range,1,10,17,0,0,277,7,2,16,84,748,1,0,354,8,2025-10-01
SMP,1,1,1,4,0,8,2,2,4,16,60,0,0,61,24,2025-10-01
Sylhet Range,2,7,15,1,0,80,2,6,5,58,405,1,0,133,34,2025-10-01
BMP,0,2,1,0,0,19,5,2,5,7,74,1,0,39,1,2025-11-01
Barishal Range,4,2,14,4,0,208,1,2,31,30,440,0,0,171,0,2025-11-01
CMP,0,2,8,10,0,39,5,3,17,34,148,5,0,137,4,2025-11-01
Chittagong Range,11,19,51,16,0,210,13,9,53,99,1025,60,0,800,45,2025-11-01
DMP,1,28,27,12,0,134,28,2,45,123,508,13,28,420,14,2025-11-01
Dhaka Range,11,38,53,6,0,344,12,5,44,154,1235,30,20,786,2,2025-11-01
GMP,2,4,6,1,0,41,10,3,6,23,108,0,1,65,0,2025-11-01
KMP,0,2,5,1,0,14,0,0,6,13,33,0,0,62,0,2025-11-01
Khulna Range,2,14,19,12,0,135,4,4,16,64,557,17,4,338,6,2025-11-01
Mymensingh Range,0,2,21,5,0,102,2,2,9,54,369,2,4,224,59,2025-11-01
RMP,1,2,1,0,0,11,5,0,7,8,47,0,1,65,0,2025-11-01
RPMP,2,1,0,0,0,8,1,0,1,6,27,1,0,20,0,2025-11-01
Railway Range,0,5,3,0,3,1,0,0,0,12,15,0,0,33,1,2025-11-01
Rajshahi Range,6,8,36,0,0,173,2,4,5,82,718,19,9,332,0,2025-11-01
Rangpur Range,2,7,20,0,0,226,3,1,7,69,771,0,0,258,5,2025-11-01
SMP,1,0,5,6,0,11,0,1,5,17,71,0,1,32,46,2025-11-01
Sylhet Range,1,4,9,6,0,68,2,3,10,47,414,2,0,161,29,2025-11-01
BMP,1,1,2,2,0,15,4,1,4,3,40,0,0,38,0,2025-12-01
Barishal Range,5,4,11,3,0,111,1,0,25,16,414,5,0,134,0,2025-12-01
CMP,0,4,2,5,0,29,5,3,10,23,139,6,0,138,4,2025-12-01
Chittagong Range,10,22,44,19,0,169,10,4,53,83,960,41,1,779,39,2025-12-01
DMP,3,22,20,8,0,113,23,2,44,76,434,16,15,480,8,2025-12-01
Dhaka Range,24,32,68,2,0,234,17,7,50,132,1073,30,4,869,3,2025-12-01
GMP,2,7,4,0,0,22,7,1,4,16,84,4,0,86,0,2025-12-01
KMP,0,1,4,0,0,6,0,0,2,14,27,3,0,48,0,2025-12-01
Khulna Range,2,10,23,9,0,97,5,1,25,57,497,21,4,367,6,2025-12-01
Mymensingh Range,2,1,12,4,0,86,3,2,3,39,343,0,0,214,36,2025-12-01
RMP,1,4,4,0,0,7,2,2,6,8,35,2,1,88,0,2025-12-01
RPMP,1,2,0,0,0,8,0,0,2,4,40,0,0,29,0,2025-12-01
Railway Range,0,3,3,2,0,0,0,0,0,4,3,1,0,44,5,2025-12-01
Rajshahi Range,8,9,33,1,0,142,2,2,0,80,656,24,8,361,3,2025-12-01
Rangpur Range,2,5,26,0,0,141,5,1,11,51,694,2,0,277,7,2025-12-01
SMP,1,0,2,5,0,10,2,1,3,18,45,2,0,54,18,2025-12-01
Sylhet Range,2,5,19,3,0,58,1,2,7,44,402,2,1,142,59,2025-12-01
BMP,1,0,1,0,0,18,5,0,3,4,43,3,0,31,0,2026-01-01
Barishal Range,3,4,20,3,0,113,2,0,16,32,407,9,1,206,0,2026-01-01
CMP,0,6,6,6,0,39,2,1,14,33,118,4,0,186,7,2026-01-01
Chittagong Range,14,19,56,9,0,165,23,3,60,134,972,83,1,817,33,2026-01-01
DMP,4,29,21,4,1,108,14,5,42,101,401,34,6,564,18,2026-01-01
Dhaka Range,12,42,73,7,0,252,10,11,42,123,1065,52,15,1097,7,2026-01-01
GMP,3,9,0,1,0,26,8,2,5,15,67,2,0,122,0,2026-01-01
KMP,0,4,1,2,0,7,1,0,0,17,25,3,0,54,1,2026-01-01
Khulna Range,1,9,35,7,0,108,6,2,28,83,462,36,7,459,8,2026-01-01
Mymensingh Range,0,6,17,4,0,69,1,4,4,49,367,3,1,252,34,2026-01-01
RMP,0,2,2,0,0,7,1,1,2,7,40,1,1,103,0,2026-01-01
RPMP,0,0,2,0,0,7,0,2,1,2,23,0,0,36,0,2026-01-01
Railway Range,0,2,2,1,0,0,1,0,0,13,12,0,0,33,2,2026-01-01
Rajshahi Range,8,15,24,1,0,142,4,3,7,85,553,30,2,447,9,2026-01-01
Rangpur Range,2,7,15,1,0,167,7,4,12,72,631,3,0,291,8,2026-01-01
SMP,1,2,1,8,0,7,0,3,0,7,41,0,0,55,27,2026-01-01
Sylhet Range,3,7,11,3,0,46,2,1,0,51,362,6,1,169,55,2026-01-01
BMP,1,1,1,2,0,18,6,0,5,6,44,0,0,22,0,2026-02-01
Barishal Range,2,2,9,7,0,108,0,2,12,29,423,12,0,169,0,2026-02-01
CMP,0,10,4,5,0,30,4,2,4,17,124,9,0,127,4,2026-02-01
Chittagong Range,14,23,54,11,0,171,12,6,45,107,889,54,1,572,25,2026-02-01
DMP,3,22,16,4,0,96,12,8,42,84,364,23,4,358,5,2026-02-01
Dhaka Range,12,30,57,2,0,240,7,8,31,96,1090,33,11,751,3,2026-02-01
GMP,1,2,2,3,0,28,3,3,0,12,71,4,1,83,0,2026-02-01
KMP,1,3,4,0,0,9,1,0,3,12,26,3,0,29,0,2026-02-01
Khulna Range,2,7,26,7,1,95,1,4,14,67,494,20,9,298,8,2026-02-01
Mymensingh Range,3,1,15,3,0,58,6,2,6,23,363,5,0,204,22,2026-02-01
RMP,0,3,4,0,0,12,0,0,2,4,29,1,0,35,0,2026-02-01
RPMP,0,0,0,0,0,6,0,1,2,4,17,1,0,26,0,2026-02-01
Railway Range,0,4,0,0,0,0,0,0,0,11,7,0,0,22,0,2026-02-01
Rajshahi Range,2,14,22,1,0,140,1,1,2,60,594,20,3,282,4,2026-02-01
Rangpur Range,0,6,15,0,0,125,10,2,10,57,616,2,0,209,2,2026-02-01
SMP,0,4,1,1,0,5,0,2,5,11,37,0,0,44,13,2026-02-01
Sylhet Range,1,2,20,2,0,40,1,1,4,34,316,6,0,128,21,2026-02-01
BMP,0,0,1,3,0,9,3,0,3,11,60,1,0,40,0,2026-03-01
Barishal Range,1,5,17,5,0,151,1,2,30,49,532,2,0,253,2,2026-03-01
CMP,1,4,3,7,0,29,0,5,13,22,129,7,0,183,5,2026-03-01
Chittagong Range,12,22,61,17,0,210,26,5,67,132,1231,33,2,790,29,2026-03-01
DMP,5,25,24,7,0,111,20,7,62,99,472,10,1,455,7,2026-03-01
Dhaka Range,13,23,71,10,0,258,12,9,41,150,1384,21,4,1199,3,2026-03-01
GMP,1,5,5,3,0,24,9,4,2,9,103,9,0,133,0,2026-03-01
KMP,0,0,4,0,0,8,2,2,0,16,28,5,0,39,1,2026-03-01
Khulna Range,2,14,31,17,0,137,6,7,24,95,699,27,7,453,18,2026-03-01
Mymensingh Range,0,6,20,4,0,87,4,2,8,37,475,0,0,271,32,2026-03-01
RMP,0,1,1,0,0,10,3,1,4,11,47,1,0,53,0,2026-03-01
RPMP,0,2,3,2,0,3,1,0,1,10,46,1,0,43,0,2026-03-01
Railway Range,0,2,0,0,0,0,0,0,1,12,11,0,0,42,1,2026-03-01
Rajshahi Range,2,17,41,4,0,185,3,6,7,60,855,15,3,466,8,2026-03-01
Rangpur Range,1,7,15,1,0,179,10,7,13,75,770,1,0,396,10,2026-03-01
SMP,0,3,3,5,0,4,2,3,0,19,46,0,0,51,34,2026-03-01
Sylhet Range,1,6,17,6,0,80,0,3,9,49,480,2,0,195,45,2026-03-01
BMP,0,1,2,1,0,18,6,1,4,10,59,4,0,48,0,2026-04-01
Barishal Range,3,3,15,5,0,200,2,1,21,44,497,2,1,244,0,2026-04-01
CMP,3,9,4,5,0,51,3,0,15,25,153,8,0,241,4,2026-04-01
Chittagong Range,10,22,54,9,0,285,18,9,71,105,1346,31,1,890,47,2026-04-01
DMP,3,25,17,8,0,168,21,3,44,100,506,13,1,563,16,2026-04-01
Dhaka Range,21,36,64,8,1,375,15,22,39,132,1433,14,1,1326,7,2026-04-01
GMP,0,3,5,3,0,34,6,3,3,20,106,18,0,153,1,2026-04-01
KMP,0,2,2,0,0,5,2,0,6,12,35,6,0,44,0,2026-04-01
Khulna Range,3,12,24,15,0,163,5,5,25,72,687,10,3,454,33,2026-04-01
Mymensingh Range,0,6,17,7,0,108,3,6,7,48,394,1,0,316,25,2026-04-01
RMP,0,3,0,0,2,23,2,0,2,8,54,0,2,72,0,2026-04-01
RPMP,0,1,1,2,0,7,0,0,2,10,37,1,0,63,0,2026-04-01
Railway Range,0,6,3,0,0,2,0,0,0,7,15,0,0,38,3,2026-04-01
Rajshahi Range,1,10,36,1,0,252,2,5,1,70,753,23,1,563,5,2026-04-01
Rangpur Range,3,5,17,4,0,237,7,7,19,80,767,1,0,444,9,2026-04-01
SMP,0,1,3,6,0,5,1,3,4,18,49,1,1,60,21,2026-04-01
Sylhet Range,4,7,24,3,0,78,1,1,4,45,400,6,1,187,46,2026-04-01
