feature,perm_importance
lag_1,733.9227779545222
roll_std_3,321.25207125179685
month,175.6232381177588
lag_4,175.57511337278567
lag_6,142.02727586704478
lag_10,137.8536151085114
lag_11,133.7138564524994
lag_12,130.97270581000535
lag_5,128.36201624179904
lag_7,126.63235653607762
lag_3,113.03188698529667
roll_mean_3,102.18061560907742
lag_8,29.13539054643731
roll_mean_6,12.143649861002359
lag_9,5.807990956021143
lag_2,0.0
