Date,scenario_forecast
2026-05-01,16639.2
2026-06-01,16056.8
2026-07-01,16117.8
2026-08-01,15871.4
2026-09-01,15572.8
2026-10-01,15352.0
2026-11-01,14897.2
2026-12-01,14685.1
2027-01-01,15237.7
2027-02-01,14834.6
2027-03-01,16206.4
2027-04-01,16142.2
2027-05-01,16104.1
2027-06-01,15663.8
2027-07-01,15747.2
2027-08-01,15350.5
2027-09-01,14757.4
2027-10-01,15140.0
2027-11-01,14680.6
2027-12-01,14587.0
